timestamp_unix,timestamp_iso,sample_timestamp,sample_clockbase,block_index,block_name,mode,sweep_variable,sweep_value,point_index_block,point_index_total,set_bias_V,set_amplitude_V,set_frequency_Hz,measured_drive_V,measured_frequency_Hz,model,model_name,param0_name,param1_name,param0,param1,C_F,R_Ohm,demod_R_raw,demod_R,demod_R_gain,Z_real_Ohm,Z_imag_Ohm,Z_abs_Ohm,Z_phase_rad,imps_current_range_A,currin_index,currin_range_A,currin_norm_min,currin_norm_max,currin_est_A,currin_peak_A,iv_autorange_mode
1781064797.74949,2026-06-10T12:13:17.749,87776567708016,,1,cf_0V,frequency,frequency,0.0,1,1,0.0,0.1,0.0,0.099945068359375,0.0,0,Rp || Cp,Rp,Cp,100.27098654933863,nan,nan,100.27098654933863,8.507616661473106e-06,8.507616661473106e-06,1.0,-100.27098495481894,0.017882061433636066,100.27098654933863,3.1414143162447266,0.0010000000474974513,0,0.0010000000474974513,-0.02447509765625,0.015960693359375,-4.257202350643752e-06,2.447509881875476e-05,off
1781064798.5513246,2026-06-10T12:13:18.551,87776619604336,,1,cf_0V,frequency,frequency,100.0,2,2,0.0,0.1,100.0,0.099945068359375,99.99999996068709,0,Rp || Cp,Rp,Cp,722562.5899399266,3.990183709684321e-10,3.990183709684321e-10,722562.5899399266,1.0105756222119031e-07,1.0105756222119031e-07,1.0,699603.8189758976,-126736.11894573562,710990.5395791763,-0.17921061950592967,9.999999747378752e-05,0,9.999999747378752e-05,-0.06298828125,0.06597900390625,1.4953612903489955e-07,6.597900223948017e-06,off
1781064798.9977858,2026-06-10T12:13:18.997,87776649136496,,1,cf_0V,frequency,frequency,111.67312606580774,3,3,0.0,0.1,111.67312606580774,0.099945068359375,111.6731259998005,0,Rp || Cp,Rp,Cp,711235.1845658418,3.9599835416389157e-10,3.9599835416389157e-10,711235.1845658418,1.0181152345614804e-07,1.0181152345614804e-07,1.0,684502.3355717281,-135272.67859016164,697740.7433826033,-0.1951079202383531,9.999999747378752e-05,0,9.999999747378752e-05,-0.066131591796875,0.06597900390625,-7.629394338515283e-09,6.613159012625047e-06,off
1781064799.4098628,2026-06-10T12:13:19.409,87776673507696,,1,cf_0V,frequency,frequency,124.70887085309788,4,4,0.0,0.1,124.70887085309788,0.099945068359375,124.70887085669347,0,Rp || Cp,Rp,Cp,717879.7740829262,3.933479644573399e-10,3.933479644573399e-10,717879.7740829262,1.0133389952438565e-07,1.0133389952438565e-07,1.0,684375.0645380636,-151425.849038711,700927.2549406058,-0.2177532420742525,9.999999747378752e-05,0,9.999999747378752e-05,-0.066131591796875,0.06597900390625,-7.629394338515283e-09,6.613159012625047e-06,off
1781064799.90686,2026-06-10T12:13:19.906,87776699312496,,1,cf_0V,frequency,frequency,139.2662945630255,5,5,0.0,0.1,139.2662945630255,0.099945068359375,139.26629449656502,0,Rp || Cp,Rp,Cp,720240.6871441323,3.944399557067914e-10,3.944399557067914e-10,720240.6871441323,1.0199684584326927e-07,1.0199684584326927e-07,1.0,678322.2624077279,-168624.43685233154,698967.3042293926,-0.24365158902447048,9.999999747378752e-05,0,9.999999747378752e-05,-0.06842041015625,0.06597900390625,-1.2207030941624453e-07,6.842040842780506e-06,off
1781064800.353893,2026-06-10T12:13:20.353,87776730564976,,1,cf_0V,frequency,frequency,155.52302469454662,6,6,0.0,0.1,155.52302469454662,0.099945068359375,155.52302464527656,0,Rp || Cp,Rp,Cp,718131.0064309124,3.951377900469394e-10,3.951377900469394e-10,718131.0064309124,1.0283429958007402e-07,1.0283429958007402e-07,1.0,666858.1976811182,-184909.95871757812,692019.9048058124,-0.2704895690661375,9.999999747378752e-05,0,9.999999747378752e-05,-0.06842041015625,0.065338134765625,-1.5411376563800872e-07,6.842040842780506e-06,off
1781064800.789215,2026-06-10T12:13:20.789,87776753502576,,1,cf_0V,frequency,frequency,173.67742342849834,7,7,0.0,0.1,173.67742342849834,0.099945068359375,173.6774233762617,0,Rp || Cp,Rp,Cp,721784.5563128303,3.878622262211693e-10,3.878622262211693e-10,721784.5563128303,1.0300606925786542e-07,1.0300606925786542e-07,1.0,660171.417820879,-201681.0179333336,690290.9052727373,-0.29649312605170275,9.999999747378752e-05,0,9.999999747378752e-05,-0.06842041015625,0.065643310546875,-1.3885497696097815e-07,6.842040842780506e-06,off
1781064801.1692843,2026-06-10T12:13:21.169,87776779307376,,1,cf_0V,frequency,frequency,193.95100801315368,8,8,0.0,0.1,193.95100801315368,0.099945068359375,193.9510080006812,0,Rp || Cp,Rp,Cp,724014.2005407148,3.865509861837389e-10,3.865509861837389e-10,724014.2005407148,1.0472936914782735e-07,1.0472936914782735e-07,1.0,648572.7147859382,-221199.65918477398,685256.0511139336,-0.3286848376909509,9.999999747378752e-05,0,9.999999747378752e-05,-0.0653076171875,0.066650390625,6.713867017893449e-08,6.665038894126951e-06,off
1781064801.6449962,2026-06-10T12:13:21.644,87776803678576,,1,cf_0V,frequency,frequency,216.59115368443398,9,9,0.0,0.1,216.59115368443398,0.099945068359375,216.5911537588272,0,Rp || Cp,Rp,Cp,725783.5661086087,3.898710026755467e-10,3.898710026755467e-10,725783.5661086087,1.0509402133159343e-07,1.0509402133159343e-07,1.0,632058.7222513689,-243391.875483994,677301.8776185765,-0.3675767256482451,9.999999747378752e-05,0,9.999999747378752e-05,-0.0653076171875,0.06756591796875,1.1291503621002619e-07,6.7565916261891346e-06,off
1781064802.1092498,2026-06-10T12:13:22.109,87776830056816,,1,cf_0V,frequency,frequency,241.8741121014056,10,10,0.0,0.1,241.8741121014056,0.099945068359375,241.87411220566446,0,Rp || Cp,Rp,Cp,727836.8119414289,3.8815047118390843e-10,3.8815047118390843e-10,727836.8119414289,1.0631829639511051e-07,1.0631829639511051e-07,1.0,614553.380630008,-263853.58758561744,668800.8472823375,-0.4055426184080146,9.999999747378752e-05,0,9.999999747378752e-05,-0.06427001953125,0.06756591796875,1.647949177119301e-07,6.7565916261891346e-06,off
