timestamp_unix,timestamp_iso,sample_timestamp,sample_clockbase,block_index,block_name,mode,sweep_variable,sweep_value,point_index_block,point_index_total,set_bias_V,set_amplitude_V,set_frequency_Hz,measured_drive_V,measured_frequency_Hz,model,model_name,param0_name,param1_name,param0,param1,C_F,R_Ohm,demod_R_raw,demod_R,demod_R_gain,Z_real_Ohm,Z_imag_Ohm,Z_abs_Ohm,Z_phase_rad,imps_current_range_A,currin_index,currin_range_A,currin_norm_min,currin_norm_max,currin_est_A,currin_peak_A,iv_autorange_mode
1781065994.6265318,2026-06-10T12:33:14.626,87848386480496,,2,cv_100kHz,bias,bias,0.0,1,201,0.0,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,70584.72824029485,6.14124020195967e-12,6.14124020195967e-12,70584.72824029485,1.008115283057699e-06,1.008115283057699e-06,1.0,65710.26689974139,-17896.98733530979,68103.90100218554,-0.26591214100447014,9.999999974752427e-07,0,9.999999974752427e-07,-1.0,0.999969482421875,-1.525878902397526e-11,9.999999974752427e-07,off
1781065995.6375496,2026-06-10T12:33:15.637,87848446978416,,2,cv_100kHz,bias,bias,0.01,2,202,0.01,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,73313.5345953274,4.097118486122683e-10,4.097118486122683e-10,73313.5345953274,1.837655799936846e-05,1.837655799936846e-05,1.0,205.2492117748804,-3873.682737291112,3879.116547375365,-1.5178602781605597,9.999999747378752e-05,0,9.999999747378752e-05,-0.288818359375,0.283203125,-2.807617116573624e-07,2.8881835207883455e-05,off
1781065996.1128604,2026-06-10T12:33:16.112,87848476223856,,2,cv_100kHz,bias,bias,0.02,3,203,0.02,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,72400.12093067546,4.09737963105308e-10,4.09737963105308e-10,72400.12093067546,1.837865177534173e-05,1.837865177534173e-05,1.0,207.797487047266,-3873.161937705338,3878.732162873911,-1.5171971073191188,9.999999747378752e-05,0,9.999999747378752e-05,-0.288818359375,0.2911376953125,1.159667939454323e-07,2.911376879577432e-05,off
1781065996.5866039,2026-06-10T12:33:16.586,87848501168496,,2,cv_100kHz,bias,bias,0.03,4,204,0.03,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,72475.8940710697,4.0978459514585154e-10,4.0978459514585154e-10,72475.8940710697,1.8379775467868343e-05,1.8379775467868343e-05,1.0,207.53437495358324,-3872.746939635249,3878.303672385849,-1.5172591193059846,9.999999747378752e-05,0,9.999999747378752e-05,-0.288818359375,0.2911376953125,1.159667939454323e-07,2.911376879577432e-05,off
1781065997.0856867,2026-06-10T12:33:17.085,87848534428016,,2,cv_100kHz,bias,bias,0.04,5,205,0.04,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,69848.7199004955,4.0977306266413886e-10,4.0977306266413886e-10,69848.7199004955,1.8380413089125383e-05,1.8380413089125383e-05,1.0,215.3050631271183,-3872.005523926382,3877.9869839292373,-1.5152479639846794,9.999999747378752e-05,0,9.999999747378752e-05,-0.288482666015625,0.2911376953125,1.3275146149016592e-07,2.911376879577432e-05,off
1781065997.5215173,2026-06-10T12:33:17.521,87848560806256,,2,cv_100kHz,bias,bias,0.05,6,206,0.05,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,68279.31541875322,4.0973774038495066e-10,4.0973774038495066e-10,68279.31541875322,1.8379341729550918e-05,1.8379341729550918e-05,1.0,220.2601482531016,-3871.7822257774765,3878.042307241486,-1.5139690090989473,9.999999747378752e-05,0,9.999999747378752e-05,-0.284454345703125,0.28887939453125,2.212524358169432e-07,2.8887938723354267e-05,off
1781065997.9412858,2026-06-10T12:33:17.941,87848585464176,,2,cv_100kHz,bias,bias,0.06,7,207,0.06,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,65415.3063403405,4.0970869587267084e-10,4.0970869587267084e-10,65415.3063403405,1.837946128569154e-05,1.837946128569154e-05,1.0,229.8696950682666,-3870.937411602071,3877.756635124401,-1.5114825128447524,9.999999747378752e-05,0,9.999999747378752e-05,-0.283447265625,0.290130615234375,3.341674720269694e-07,2.9013060790505918e-05,off
1781065998.3632755,2026-06-10T12:33:18.363,87848611842416,,2,cv_100kHz,bias,bias,0.07,8,208,0.07,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,62925.090771271774,4.0972675472288344e-10,4.0972675472288344e-10,62925.090771271774,1.838159858698196e-05,1.838159858698196e-05,1.0,238.87788621814192,-3869.6705323582864,3877.0365839808774,-1.5091437530047376,9.999999747378752e-05,0,9.999999747378752e-05,-0.283447265625,0.296417236328125,6.48498518773799e-07,2.9641722883999577e-05,off
1781065998.823648,2026-06-10T12:33:18.823,87848637933936,,2,cv_100kHz,bias,bias,0.08,9,209,0.08,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,60479.24812462992,4.097029103652804e-10,4.097029103652804e-10,60479.24812462992,1.8382711373266304e-05,1.8382711373266304e-05,1.0,248.48932308313223,-3868.6820085630934,3876.6541536570016,-1.5066534373992138,9.999999747378752e-05,0,9.999999747378752e-05,-0.283447265625,0.4976806640625,1.0711669651275457e-05,4.9768065149002894e-05,off
1781065999.252039,2026-06-10T12:33:19.252,87848664025456,,2,cv_100kHz,bias,bias,0.09,10,210,0.09,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,57888.09959736738,4.096945890924128e-10,4.096945890924128e-10,57888.09959736738,1.838250696239998e-05,1.838250696239998e-05,1.0,259.524940602018,-3867.305575562395,3876.003819602152,-1.5037893622127356,9.999999747378752e-05,0,9.999999747378752e-05,-0.282073974609375,0.4976806640625,1.0780334200322095e-05,4.9768065149002894e-05,off
1781065999.767575,2026-06-10T12:33:19.767,87848694991216,,2,cv_100kHz,bias,bias,0.1,11,211,0.1,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,54813.7138950517,4.0950973790063804e-10,4.0950973790063804e-10,54813.7138950517,1.83786967854335e-05,1.83786967854335e-05,1.0,274.18564664730525,-3867.034499539373,3876.7426519508786,-1.5000114506750615,9.999999747378752e-05,0,9.999999747378752e-05,-0.28033447265625,0.4976806640625,1.0867309295781169e-05,4.9768065149002894e-05,off
1781066000.2687366,2026-06-10T12:33:20.268,87848725383536,,2,cv_100kHz,bias,bias,0.11,12,212,0.11,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,51760.34159827301,4.095687788756347e-10,4.095687788756347e-10,51760.34159827301,1.838383386456e-05,1.838383386456e-05,1.0,290.1005227749704,-3864.1355881174427,3875.009955686572,-1.4958617591533163,9.999999747378752e-05,0,9.999999747378752e-05,-0.280181884765625,0.408538818359375,6.417846517559056e-06,4.085388080388164e-05,off
1781066000.7191055,2026-06-10T12:33:20.719,87848749181296,,2,cv_100kHz,bias,bias,0.12,13,213,0.12,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,49459.53834390892,4.0960733042511215e-10,4.0960733042511215e-10,49459.53834390892,1.8390437639711507e-05,1.8390437639711507e-05,1.0,303.37701019939885,-3861.7158438057154,3873.614186856716,-1.4923971886214549,9.999999747378752e-05,0,9.999999747378752e-05,-0.280181884765625,0.303314208984375,1.1566161817189169e-06,3.033142013220136e-05,off
1781066001.1706986,2026-06-10T12:33:21.170,87848777566576,,2,cv_100kHz,bias,bias,0.13,14,214,0.13,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,46157.48127232671,4.09577755114087e-10,4.09577755114087e-10,46157.48127232671,1.8393992080559164e-05,1.8393992080559164e-05,1.0,324.8316225808154,-3858.4833747089024,3872.1324274788803,-1.4868080235007088,9.999999747378752e-05,0,9.999999747378752e-05,-0.2783203125,0.306671142578125,1.4175414680961396e-06,3.066711348309603e-05,off
1781066001.5765712,2026-06-10T12:33:21.576,87848803658096,,2,cv_100kHz,bias,bias,0.14,15,215,0.14,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,43640.28213901681,4.0948795854265594e-10,4.0948795854265594e-10,43640.28213901681,1.8394328995540802e-05,1.8394328995540802e-05,1.0,343.4307734258607,-3856.0953244687084,3871.358398227335,-1.4819688963459041,9.999999747378752e-05,0,9.999999747378752e-05,-0.278076171875,0.483856201171875,1.028900120492171e-05,4.8385618894863924e-05,off
1781066002.0293863,2026-06-10T12:33:22.029,87848829462896,,2,cv_100kHz,bias,bias,0.15,16,216,0.15,0.1,100000.0,0.099945068359375,99999.99999990905,0,Rp || Cp,Rp,Cp,41262.76839315514,4.09498048972926e-10,4.09498048972926e-10,41262.76839315514,1.840010952792244e-05,1.840010952792244e-05,1.0,362.862570683244,-3852.407684480542,3869.459162809136,-1.4768822929695073,9.999999747378752e-05,0,9.999999747378752e-05,-0.27581787109375,0.49609375,1.1013793667080662e-05,4.9609373746761776e-05,off
